congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean,prob_nom,n_prob_nom
117,Senate,20953,68,0.0,WY,200,,,"LUMMIS, Cynthia M.",L000571,1954.0,,0.693,-0.33799999999999997,-143.15981000000002,0.84616,857.0,62.0,,0.722,-0.361,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,89.00662251655638,949.0
117,Senate,40707,68,0.0,WY,200,,,"BARRASSO, John A.",B001261,1952.0,,0.537,0.222,-119.83192,0.8632700000000001,815.0,45.0,,0.542,0.14400000000000002,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,90.41214128035318,949.0
118,House,20301,41,3.0,AL,200,,,"ROGERS, Mike Dennis",R000575,1958.0,,0.377,0.384,-134.22697,0.82437,695.0,66.0,,0.445,0.292,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,88.98842857142861,772.0
118,House,21102,41,7.0,AL,100,,,"SEWELL, Terri",S001185,1965.0,,-0.39799999999999996,0.4,-30.513070000000003,0.95393,647.0,12.0,,-0.516,0.41,Democrat,217,-0.389,-0.032,-0.38743317972350216,-0.03399539170506913,96.8285714285715,772.0
118,House,21500,41,6.0,AL,200,,,"PALMER, Gary James",P000609,1954.0,,0.679,0.102,-57.32691,0.9203899999999999,691.0,30.0,,0.6920000000000001,0.14,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,94.22857142857147,772.0
118,House,22108,41,1.0,AL,200,,,"CARL, Jerry L.",C001054,1958.0,,0.5479999999999999,0.275,-82.53912,0.8884700000000001,698.0,38.0,,0.599,0.257,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,92.21942857142852,772.0
118,House,22140,41,2.0,AL,200,,,"MOORE, Barry",M001212,1966.0,,0.645,-0.171,-56.33096999999999,0.9224700000000001,698.0,20.0,,0.74,-0.16899999999999998,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,94.61185714285716,772.0
118,House,22366,41,5.0,AL,200,,,"STRONG, Dale",S001220,1970.0,,0.62,0.33799999999999997,-79.03971999999999,0.8920600000000001,692.0,32.0,,0.62,0.337,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,93.09114285714283,772.0
118,House,29701,41,4.0,AL,200,,,"ADERHOLT, Robert",A000055,1965.0,,0.40299999999999997,0.479,-134.39949,0.82114,682.0,71.0,,0.457,0.18,Republican,226,0.5045,0.1015,0.5090530973451328,0.06306637168141592,89.34814285714289,772.0
118,House,22168,81,1.0,AK,100,,,"PELTOLA, Mary Sattler",P000619,1973.0,,-0.16,0.40700000000000003,-119.99277,0.79671,528.0,61.0,,-0.098,0.067,Democrat,217,-0.389,-0.032,-0.38743317972350216,-0.03399539170506913,87.98542857142853,772.0
